Date,Time,Open,High,Low,Close,Volume
2024.01.01,00:00,0.89513,0.89528,0.89504,0.89526,152
2024.01.01,00:15,0.89501,0.89503,0.89467,0.89497,409
2024.01.01,00:30,0.89481,0.89489,0.89465,0.89474,71
2024.01.01,00:45,0.89409,0.89418,0.89403,0.89407,495
2024.01.01,01:00,0.89409,0.89431,0.89401,0.8941,356
2024.01.01,01:15,0.89396,0.89434,0.89365,0.89405,395
2024.01.01,01:30,0.89413,0.89422,0.89396,0.89411,313
2024.01.01,01:45,0.89433,0.89452,0.89414,0.89418,155
2024.01.01,02:00,0.89405,0.89416,0.89403,0.89415,251
2024.01.01,02:15,0.89421,0.89434,0.89393,0.89408,387
2024.01.01,02:30,0.89471,0.8949,0.89469,0.89474,90
2024.01.01,02:45,0.89452,0.89459,0.89449,0.89449,178
2024.01.01,03:00,0.89465,0.89484,0.89452,0.89471,310
2024.01.01,03:15,0.89477,0.89486,0.89462,0.89476,456
2024.01.01,03:30,0.89508,0.89532,0.89485,0.89513,84
2024.01.01,03:45,0.89486,0.89493,0.89471,0.89492,267
2024.01.01,04:00,0.89471,0.89484,0.89461,0.89463,228
2024.01.01,04:15,0.89466,0.8947,0.89448,0.8945,271
2024.01.01,04:30,0.89458,0.89475,0.89436,0.89459,62
2024.01.01,04:45,0.89453,0.89469,0.89446,0.89463,183
2024.01.01,05:00,0.89423,0.89426,0.89407,0.89421,177
2024.01.01,05:15,0.89402,0.89407,0.89385,0.89391,165
2024.01.01,05:30,0.89355,0.8937,0.89343,0.89344,367
2024.01.01,05:45,0.89334,0.89338,0.89326,0.89333,423
2024.01.01,06:00,0.89341,0.89362,0.89329,0.89339,491
2024.01.01,06:15,0.89288,0.89308,0.89287,0.89308,103
2024.01.01,06:30,0.89306,0.89318,0.89284,0.89314,102
2024.01.01,06:45,0.89323,0.89323,0.89303,0.89314,252
2024.01.01,07:00,0.89279,0.893,0.89277,0.8929,147
2024.01.01,07:15,0.89306,0.89338,0.89286,0.89301,398
2024.01.01,07:30,0.8929,0.89303,0.89272,0.89282,196
2024.01.01,07:45,0.89263,0.89272,0.89261,0.89268,88
2024.01.01,08:00,0.89247,0.89252,0.89225,0.89237,395
2024.01.01,08:15,0.89237,0.89247,0.89236,0.89241,209
2024.01.01,08:30,0.89203,0.89221,0.89176,0.89196,180
2024.01.01,08:45,0.89188,0.89219,0.89175,0.89203,161
2024.01.01,09:00,0.89211,0.89225,0.89183,0.89214,257
2024.01.01,09:15,0.89214,0.8922,0.89198,0.89205,441
2024.01.01,09:30,0.89217,0.89232,0.89204,0.89218,420
2024.01.01,09:45,0.89182,0.89194,0.89178,0.89183,100
2024.01.01,10:00,0.8919,0.89214,0.8919,0.89202,333
2024.01.01,10:15,0.89225,0.89231,0.89212,0.89212,53
2024.01.01,10:30,0.89213,0.89221,0.89211,0.89219,230
2024.01.01,10:45,0.89228,0.89229,0.89221,0.89224,465
2024.01.01,11:00,0.89212,0.89225,0.89199,0.89202,272
2024.01.01,11:15,0.89172,0.89193,0.89151,0.89164,322
2024.01.01,11:30,0.89176,0.89202,0.89152,0.89162,355
2024.01.01,11:45,0.89176,0.89243,0.89167,0.89185,449
2024.01.01,12:00,0.89187,0.89193,0.89153,0.89181,100
2024.01.01,12:15,0.89243,0.89271,0.8922,0.8923,391
2024.01.01,12:30,0.8924,0.89268,0.89221,0.89236,109
2024.01.01,12:45,0.8925,0.89284,0.89214,0.89265,360
2024.01.01,13:00,0.89262,0.8927,0.89235,0.89259,395
2024.01.01,13:15,0.89272,0.89285,0.89252,0.8927,50
2024.01.01,13:30,0.89228,0.89238,0.89225,0.89233,238
2024.01.01,13:45,0.89243,0.89282,0.89223,0.89258,125
2024.01.01,14:00,0.89226,0.89229,0.89214,0.89219,269
2024.01.01,14:15,0.89231,0.89243,0.89217,0.89231,481
2024.01.01,14:30,0.89216,0.89233,0.8918,0.89212,299
2024.01.01,14:45,0.89253,0.89273,0.89248,0.8925,299
2024.01.01,15:00,0.8925,0.89264,0.89221,0.89253,65
2024.01.01,15:15,0.89258,0.89267,0.89254,0.89255,389
2024.01.01,15:30,0.89205,0.89241,0.89195,0.89221,228
2024.01.01,15:45,0.89233,0.89259,0.89226,0.89242,92
2024.01.01,16:00,0.89249,0.89259,0.89242,0.89245,459
2024.01.01,16:15,0.89215,0.89235,0.89201,0.89202,363
2024.01.01,16:30,0.89227,0.89254,0.89222,0.89232,326
2024.01.01,16:45,0.89233,0.89241,0.89193,0.89218,276
2024.01.01,17:00,0.89217,0.89219,0.89194,0.89213,201
2024.01.01,17:15,0.89218,0.89234,0.89197,0.89209,328
2024.01.01,17:30,0.89198,0.89209,0.89198,0.89205,417
2024.01.01,17:45,0.89164,0.89176,0.89157,0.89163,272
2024.01.01,18:00,0.89165,0.89191,0.89153,0.89182,148
2024.01.01,18:15,0.89212,0.89246,0.89207,0.89214,230
2024.01.01,18:30,0.89196,0.8921,0.89164,0.8921,264
2024.01.01,18:45,0.89258,0.89265,0.89257,0.89259,279
2024.01.01,19:00,0.89266,0.89275,0.89258,0.89267,214
2024.01.01,19:15,0.89279,0.89301,0.89273,0.89278,350
2024.01.01,19:30,0.8926,0.89293,0.89229,0.89273,395
2024.01.01,19:45,0.89253,0.89281,0.89233,0.89241,175
2024.01.01,20:00,0.8925,0.89275,0.89242,0.89262,239
2024.01.01,20:15,0.89248,0.89284,0.8924,0.89241,166
2024.01.01,20:30,0.89243,0.89258,0.89236,0.89243,451
2024.01.01,20:45,0.8923,0.89251,0.89217,0.89243,490
2024.01.01,21:00,0.89239,0.89248,0.89228,0.89233,171
2024.01.01,21:15,0.89229,0.89249,0.89199,0.89214,269
2024.01.01,21:30,0.89179,0.8919,0.89171,0.89178,250
2024.01.01,21:45,0.89204,0.89216,0.8919,0.89208,95
2024.01.01,22:00,0.89253,0.89287,0.89251,0.89261,54
2024.01.01,22:15,0.89259,0.89263,0.89246,0.8925,112
2024.01.01,22:30,0.89281,0.89288,0.89271,0.89282,154
